"variable" "F" "J" "O" "R" "group"
"334" "Clerodendrum villosum" 0 0.125 0 0 "core"
"335" "Clibadium surinamense" 0 0.125 0.25 0.25 "core"
"336" "Clidemia hirta" 0.25 1 1 0.875 "general"
"337" "Climber 04" 0.125 0 0 0 "core"
"338" "Climber 06" 0 0.125 0 0 "core"
"339" "Climber 22" 0 0.125 0 0 "core"
"340" "Climber 27" 0 0.125 0.125 0.25 "core"
"341" "Climber 43" 0.125 0 0 0 "core"
"342" "Climber 45" 0.125 0 0 0 "core"
"343" "Climber 47" 0.125 0 0 0 "core"
"344" "Climber 49" 0.125 0 0 0 "core"
"345" "Clonostylisforbesii" 0.125 0 0 0 "core"
"346" "Cnestis palala" 0.375 0 0 0 "core"
"347" "Coccinia sp. 01" 0 0 0 0.125 "core"
"348" "Codonoboea hispida" 0.125 0 0 0 "core"
"349" "Colysis sp. 01" 0.125 0 0 0 "core"
"350" "Combretum latifolium" 0.125 0 0 0 "core"
"351" "Combretum nigrescens" 0.375 0.375 0 0 "core"
"352" "Combretum tetralophum" 0 0 0 0.125 "core"
"353" "Commelina diffusa" 0 0 0.125 0 "core"
"354" "Connarus semidecandrus" 0.125 0.25 0 0 "core"
"355" "Connarus villosus" 0.125 0 0 0 "core"
"356" "Coptosapelta flavescens" 0.125 0 0 0.125 "core"
"357" "Corymborkis veratrifolia" 0.125 0 0 0 "core"
"358" "Coscinium fenestratum" 0.25 0 0 0 "core"
"359" "Crassocephalum crepidioides" 0 0 0.5 0 "core"
"360" "Cratoxylum cochinchinense" 0.25 0.125 0 0 "core"
"361" "Cratoxylum formosum" 0 0.25 0.125 0.125 "core"
"362" "Cratoxylum sumatranum" 0 0.625 0.25 0.375 "core"
"363" "Croton argyratus" 0.625 0.375 0 0.125 "core"
"364" "Croton cascarilloides" 0.125 0.25 0 0 "core"
"365" "Croton caudatus" 0 0.125 0 0 "core"
"366" "Croton hirtus" 0 0 1 0.25 "core"
"367" "Croton oblongus" 0.25 0.125 0 0 "core"
"368" "Cryptocarya costata" 0.125 0 0 0 "core"
"369" "Cryptocarya crassinervia" 0.375 0 0 0 "core"
"370" "Cryptocarya densiflora" 0.25 0 0 0 "core"
"371" "Cryptocarya ferrea" 0.5 0 0 0 "core"
"372" "Cryptocarya pulchrinervia" 0.5 0 0 0 "core"
"373" "Ctenolophon parvifolius" 0.125 0 0 0 "core"
"374" "Cucurbitaceae sp. 04" 0 0.125 0 0 "core"
"375" "Cyanthillium cinereum" 0 0 0.25 0.125 "core"
"376" "Cyathocalyx sumatranus" 0.125 0 0 0 "core"
"377" "Cyclea laxiflora" 0 0 0 0.125 "core"
"378" "Cyclosorus heterocarpus" 0 0.25 0 0 "core"
"379" "Cyclosorus megaphyllus" 0.25 0 0 0 "core"
"380" "Cynanchum sp. 01" 0 0.25 0.125 0.125 "core"
"381" "Cynanchum sp. 02" 0 0.125 0 0.125 "core"
"382" "Cyperus diffusus" 0 0 0.25 0 "core"
"383" "Cyperus haspan" 0 0 0.125 0.125 "core"
"384" "Cyrtandra cf. reticosa" 0.125 0 0 0 "core"
"385" "Cyrtandra pendula" 0.125 0 0 0 "core"
"386" "Cyrtococcum oxyphyllum" 0 0.125 0.375 0.375 "core"
"387" "Cyrtococcum patens" 0 0.5 0.875 0.75 "core"
"388" "Dacryodes costata" 0.25 0 0 0 "core"
"389" "Dacryodes laxa" 0.5 0 0 0 "core"
"390" "Dacryodes rostrata" 0.5 0.25 0 0 "core"
"391" "Dacryodes rugosa" 0.625 0.125 0 0 "core"
"392" "Daemonorops hirsuta" 0.375 0 0 0 "core"
"393" "Daemonorops micracantha" 0.125 0 0 0 "core"
"394" "Daemonorops palembanica" 0.25 0 0 0 "core"
"395" "Daemonorops sp. 01" 0.25 0 0 0 "core"
"396" "Daemonorops sp. 02" 0.125 0 0 0 "core"
"397" "Dalbergia junghuhnii" 0 0.125 0.125 0.125 "core"
"398" "Dalbergia rostrata" 0.25 0.125 0 0 "core"
"399" "Dalbergia stipulacea" 0.625 0 0 0 "core"
"400" "Dasymaschalon dasymaschalum" 0.125 0 0 0 "core"
"401" "Davallia denticulata" 0 0.375 0.75 0.5 "core"
"402" "Davallia triphylla" 0.125 0 0.125 0 "core"
"403" "Decaspermum cf. parviflorum" 0 0 0 0.125 "core"
"404" "Dehaasia cf. membranacea" 0 0.125 0 0 "core"
"405" "Dehaasia firma" 0.125 0 0 0 "core"
"406" "Dehaasia incrassata" 0.25 0.125 0 0 "core"
"407" "Dendrocnide sinuata" 0.25 0 0 0 "core"
"408" "Dendrocnide stimulans" 0 0.125 0 0 "core"
"409" "Dendrophthoe cf. pentandra" 0.125 0 0 0 "core"
"410" "Derris amoena" 0.25 0.125 0.125 0 "core"
"411" "Derris sp. 01" 0 0 0 0.125 "core"
"412" "Dialium indum" 0.25 0.125 0 0 "core"
"413" "Dialium platysepalum" 0.25 0.125 0 0 "core"
"414" "Dianella ensifolia" 0 0 0.375 0.125 "core"
"415" "Dichapetalum cf. rugosum" 0 0 0 0.125 "core"
"416" "Dichapetalum gelonioides" 0.25 0.25 0.125 0.125 "general"
"417" "Dichapetalum sordidum" 0.125 0 0 0 "core"
"418" "Dichapetalum timoriense" 0.125 0.125 0.125 0 "core"
"419" "Dicoelia sumatrana" 0.125 0.375 0 0 "core"
"420" "Dicranopteris linearis" 0.125 0.875 0.75 0.625 "general"
"421" "Dictyoneura acuminata" 0.25 0.125 0 0 "core"
"422" "Dillenia excelsa" 0 0.125 0 0 "core"
"423" "Dillenia eximia" 0.25 0.375 0 0 "core"
"424" "Dillenia indica" 0.125 0 0 0 "core"
"425" "Dimocarpus longan" 0 0.25 0 0 "core"
"426" "Diodella sarmentosa" 0 0 0 0.25 "core"
"427" "Dioscorea bulbifera" 0.125 0.125 0 0.125 "core"
"428" "Dioscorea cf. orbiculata" 0.375 0.375 0.25 0.125 "general"
"429" "Dioscorea hispida" 0 0 0.125 0 "core"
"430" "Dioscorea pyrifolia" 0 0.5 0 0.125 "core"
"431" "Dioscorea salicifolia" 0 0.25 0 0.125 "core"
"432" "Dioscorea sp. 07" 0 0.125 0 0 "core"
"433" "Diospyros borneensis" 0.375 0.125 0 0 "core"
"434" "Diospyros britannoborneensis" 0.25 0.125 0 0 "core"
"435" "Diospyros coriacea" 0.25 0 0 0 "core"
"436" "Diospyros daemona" 0.125 0 0 0 "core"
"437" "Diospyros dictyoneura" 0.125 0 0 0 "core"
"438" "Diospyros discocalyx" 0.125 0 0 0 "core"
"439" "Diospyros frutescens" 0.125 0.125 0 0 "core"
"440" "Diospyros javanica" 0.25 0 0 0 "core"
"441" "Diospyros korthalsiana" 0.25 0.125 0 0 "core"
"442" "Diospyros lanceifolia" 0.375 0.25 0 0 "core"
"443" "Diospyros sp. 16" 0.125 0 0 0 "core"
"444" "Diospyros sp. 17" 0.125 0 0 0 "core"
"445" "Diospyros sumatrana" 0.25 0 0 0 "core"
"446" "Diospyros truncata" 0 0.125 0 0 "core"
"447" "Diospyros venosa" 0.375 0.125 0 0 "core"
"448" "Diplazium cordifolium" 0.125 0 0 0 "core"
"449" "Diplazium sp. 01" 0.125 0 0 0 "core"
